#(dyne/cm2) (K)	 (cm2/s)
Pressure	Temp  	 Kzz
7.607E+06	2246.3	 5.000E+07
5.117E+06	2026.8	 5.000E+07
3.441E+06	1858.6	 6.027E+07
2.315E+06	1734.4	 7.348E+07
1.557E+06	1652.3	 8.960E+07
1.047E+06	1605.3	 1.093E+08
7.044E+05	1595.7	 1.332E+08
4.738E+05	1567.0	 1.624E+08
3.187E+05	1523.1	 1.980E+08
2.144E+05	1472.5	 2.415E+08
1.442E+05	1425.7	 2.944E+08
9.702E+04	1382.2	 3.589E+08
6.527E+04	1333.2	 4.376E+08
4.392E+04	1278.4	 5.335E+08
2.956E+04	1223.3	 6.503E+08
1.990E+04	1165.1	 7.926E+08
1.340E+04	1107.0	 9.658E+08
9.030E+03	1050.8	 1.177E+09
6.089E+03	1004.7	 1.433E+09
4.111E+03	967.9	 1.744E+09
2.779E+03	939.9	 2.121E+09
1.883E+03	918.5	 2.576E+09
1.280E+03	904.0	 3.125E+09
8.735E+02	892.5	 3.783E+09
5.995E+02	883.9	 4.566E+09
4.146E+02	877.2	 5.491E+09
2.896E+02	872.9	 6.570E+09
2.050E+02	870.5	 7.809E+09
1.474E+02	871.3	 9.209E+09
1.081E+02	877.5	 1.075E+10
8.098E+01	885.3	 1.242E+10
6.216E+01	887.0	 1.418E+10
4.889E+01	881.5	 1.599E+10
3.935E+01	870.2	 1.782E+10
3.233E+01	856.5	 1.966E+10
2.700E+01	842.3	 2.152E+10
2.281E+01	829.1	 2.341E+10
1.939E+01	817.0	 2.539E+10
1.648E+01	807.5	 2.754E+10
1.392E+01	800.3	 2.997E+10
1.159E+01	793.6	 3.284E+10
9.421E+00	781.1	 3.643E+10
7.352E+00	759.5	 4.123E+10
5.349E+00	725.8	 4.834E+10
