#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	S    	P    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
0         	5         	ok              	1.0000000000e+03	2.2865000000e+03	5.8270374140e+21	3.1677074881e+21	2.3698518893e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
1         	5         	ok              	8.4370000000e+02	2.1905000000e+03	5.1320312039e+21	2.7897229070e+21	2.3699909574e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
2         	5         	ok              	7.1180000000e+02	2.0984000000e+03	4.5199470182e+21	2.4568915295e+21	2.3700954165e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
3         	5         	ok              	6.0050000000e+02	2.0083000000e+03	3.9844015792e+21	2.1657119875e+21	2.3701775077e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
4         	4         	ok              	5.0660000000e+02	1.9213000000e+03	3.5136644160e+21	1.9097929229e+21	2.3702408030e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
5         	4         	ok              	4.2740000000e+02	1.8401000000e+03	3.0952217236e+21	1.6823229496e+21	2.3702866181e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
6         	4         	ok              	3.6060000000e+02	1.7696000000e+03	2.7155289777e+21	1.4759338380e+21	2.3703147614e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
7         	4         	ok              	3.0420000000e+02	1.7163000000e+03	2.3619547116e+21	1.2837554022e+21	2.3703242042e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
8         	4         	ok              	2.5670000000e+02	1.6712000000e+03	2.0469321919e+21	1.1125350922e+21	2.3703266906e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
9         	4         	ok              	2.1660000000e+02	1.6261000000e+03	1.7750796384e+21	9.6477819504e+20	2.3703301039e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
10        	4         	ok              	1.8270000000e+02	1.5865000000e+03	1.5346348015e+21	8.3409352124e+20	2.3703297322e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
11        	4         	ok              	1.5410000000e+02	1.5651000000e+03	1.3120923218e+21	7.1314332933e+20	2.3703148598e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
12        	4         	ok              	1.3000000000e+02	1.5571000000e+03	1.1125654728e+21	6.0470439426e+20	2.3702869353e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
13        	4         	ok              	1.0970000000e+02	1.5500000000e+03	9.4312185199e+20	5.1261487737e+20	2.3702549948e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
14        	4         	ok              	9.2560000000e+01	1.5397000000e+03	8.0107717595e+20	4.3541512708e+20	2.3702235797e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
15        	4         	ok              	7.8090000000e+01	1.5318000000e+03	6.7931828983e+20	3.6924075863e+20	2.3701844389e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
16        	5         	ok              	6.5890000000e+01	1.5268000000e+03	5.7505313050e+20	3.1257456338e+20	2.3701334966e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
17        	5         	ok              	5.5590000000e+01	1.5218000000e+03	4.8674187369e+20	2.6457900033e+20	2.3700734622e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
18        	5         	ok              	4.6900000000e+01	1.5175000000e+03	4.1180390972e+20	2.2385171186e+20	2.3700009175e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
19        	6         	ok              	3.9570000000e+01	1.5186000000e+03	3.4717611800e+20	1.8872912729e+20	2.3698965065e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
20        	6         	ok              	3.3380000000e+01	1.5246000000e+03	2.9169641247e+20	1.5857937208e+20	2.3697518189e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
21        	7         	ok              	2.8160000000e+01	1.5274000000e+03	2.4561380810e+20	1.3353531682e+20	2.3696003529e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
22        	7         	ok              	2.3760000000e+01	1.5263000000e+03	2.0737331069e+20	1.1275162482e+20	2.3694552924e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
23        	8         	ok              	2.0050000000e+01	1.5310000000e+03	1.7444233123e+20	9.4853959236e+19	2.3692718217e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
24        	8         	ok              	1.6910000000e+01	1.5472000000e+03	1.4556758655e+20	7.9161392988e+19	2.3690254455e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
25        	8         	ok              	1.4270000000e+01	1.5634000000e+03	1.2155684774e+20	6.6110454431e+19	2.3687965292e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
26        	8         	ok              	1.2040000000e+01	1.5735000000e+03	1.0189508102e+20	5.5421211685e+19	2.3686215301e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
27        	7         	ok              	1.0160000000e+01	1.5778000000e+03	8.5745575741e+19	4.6639945382e+19	2.3684932709e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
28        	7         	ok              	8.5680000000e+00	1.5765000000e+03	7.2366683075e+19	3.9364229911e+19	2.3684017663e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
29        	6         	ok              	7.2290000000e+00	1.5740000000e+03	6.1152357067e+19	3.3265172025e+19	2.3683282659e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
30        	6         	ok              	6.0990000000e+00	1.5731000000e+03	5.1621457061e+19	2.8081388585e+19	2.3682641955e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
31        	6         	ok              	5.1450000000e+00	1.5717000000e+03	4.3584733459e+19	2.3710024507e+19	2.3682135463e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
32        	5         	ok              	4.3410000000e+00	1.5680000000e+03	3.6860024776e+19	2.0052106587e+19	2.3681766107e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
33        	5         	ok              	3.6620000000e+00	1.5619000000e+03	3.1215632053e+19	1.6981708902e+19	2.3681500155e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
34        	5         	ok              	3.0900000000e+00	1.5534000000e+03	2.6483705143e+19	1.4407593794e+19	2.3681311900e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
35        	5         	ok              	2.6070000000e+00	1.5440000000e+03	2.2479914874e+19	1.2229536909e+19	2.3681168043e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
36        	4         	ok              	2.1990000000e+00	1.5322000000e+03	1.9107721661e+19	1.0395037211e+19	2.3681070313e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
37        	4         	ok              	1.8550000000e+00	1.5195000000e+03	1.6253279672e+19	8.8421827465e+18	2.3680997455e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
38        	4         	ok              	1.5650000000e+00	1.5059000000e+03	1.3836142608e+19	7.5272178521e+18	2.3680944138e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
39        	4         	ok              	1.3210000000e+00	1.4924000000e+03	1.1784566409e+19	6.4111192372e+18	2.3680901054e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
40        	4         	ok              	1.1140000000e+00	1.4779000000e+03	1.0035421476e+19	5.4595446059e+18	2.3680870765e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
41        	4         	ok              	9.4010000000e-01	1.4636000000e+03	8.5515861714e+18	4.6523023214e+18	2.3680846179e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
42        	4         	ok              	7.9310000000e-01	1.4493000000e+03	7.2855832166e+18	3.9635645424e+18	2.3680826603e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
