#(dyne/cm2) (K)  # removed 
Pressure     Temp
1.000e+09  2059.920
8.962e+08  2008.380
7.197e+08  1912.870
5.780e+08  1821.910
4.642e+08  1735.290
3.728e+08  1652.810
2.994e+08  1574.250
2.404e+08  1499.440
1.931e+08  1428.190
1.551e+08  1360.340
1.245e+08  1295.720
1.000e+08  1234.180
8.031e+07  1175.570
6.449e+07  1137.300
5.179e+07  1101.540
4.160e+07  1065.260
3.340e+07  1028.400
2.683e+07   991.320
2.154e+07   954.130
1.730e+07   917.800
1.390e+07   882.710
1.116e+07   849.490
8.962e+06   818.790
7.197e+06   791.050
5.780e+06   762.020
4.642e+06   719.040
3.728e+06   675.280
2.994e+06   634.190
2.404e+06   595.620
1.931e+06   559.400
1.551e+06   525.390
1.245e+06   493.450
1.000e+06   463.470
8.031e+05   435.320
6.449e+05   408.880
5.179e+05   384.060
4.160e+05   360.740
3.340e+05   338.850
2.683e+05   318.300
2.154e+05   298.990
1.730e+05   280.870
1.390e+05   263.840
1.116e+05   247.850
8.962e+04   232.840
7.197e+04   218.740
5.780e+04   208.060
4.642e+04   212.260
3.728e+04   220.460
2.994e+04   223.800
2.404e+04   226.680
1.931e+04   229.460
1.551e+04   232.250
1.245e+04   235.640
1.000e+04   239.520
8.031e+03   242.990
6.449e+03   246.640
5.179e+03   250.620
4.160e+03   254.590
3.340e+03   258.610
2.683e+03   263.050
2.154e+03   267.680
1.730e+03   271.960
1.390e+03   276.210
1.116e+03   280.500
8.962e+02   284.490
7.197e+02   288.130
5.780e+02   291.710
4.642e+02   295.120
3.728e+02   298.090
2.994e+02   300.650
2.404e+02   302.840
1.931e+02   304.590
1.551e+02   305.890
1.245e+02   306.870
1.000e+02   307.480
8.031e+01   307.670
6.449e+01   307.530
5.179e+01   307.100
4.160e+01   306.370
3.340e+01   305.340
2.683e+01   304.060
2.154e+01   302.540
1.730e+01   300.760
1.389e+01   298.730
1.116e+01   296.470
8.962e+00   294.150
7.197e+00   291.840
5.780e+00   289.620
4.642e+00   287.500
3.728e+00   285.500
2.994e+00   283.510
2.404e+00   281.370
1.931e+00   278.830
1.551e+00   275.710
1.245e+00   272.050
1.000e+00   267.980
8.031e-01   263.500
6.449e-01   258.280
5.179e-01   252.330
4.160e-01   245.340
3.340e-01   235.250
2.683e-01   223.340
2.154e-01   214.660
1.730e-01   210.500
1.389e-01   208.770
1.116e-01   207.960
8.962e-02   207.510
7.197e-02   207.240
5.780e-02   207.110
4.642e-02   207.150
3.728e-02   207.480
2.994e-02   208.410
2.404e-02   210.830
1.931e-02   216.580
1.551e-02   221.820
1.245e-02   206.550
1.000e-02   199.340
